68776.22461786857,0.0005,[8, 8, 8],5000
223515.30477491932,0.0005,[13, 8],1100
70499.87380705004,0.0005,[13, 8],1200
223515.30477491932,0.0005,[8, 8, 8],5100
68776.20207412892,0.0005,[8, 8, 8],5200
69596.39693140786,0.0005,[13, 8],1300
68777.7026280697,0.0005,[8, 8, 8],5300
69443.11677603924,0.0005,[13, 8],1400
69047.26450769935,0.0005,[13, 8],1500
69653.85434474876,0.0005,[13, 8],1600
223515.30477491932,0.0005,[8, 8, 8],5400
68911.93011849682,0.0005,[13, 8],1700
68952.64163652193,0.0005,[13, 8],1800
223515.30477491932,0.0005,[8, 8, 8],5600
68776.19895697648,0.0005,[8, 8, 8],5500
223515.30477491932,0.0005,[13, 8],1900
68861.28980206297,0.0005,[13, 8],2000
68779.42014894472,0.0005,[8, 8, 8],5700
69184.11090982816,0.0005,[13, 8],2100
223515.30477491932,0.0005,[13, 8],2200
223515.30477491932,0.0005,[13, 8],2300
223515.30477491932,0.0005,[13, 8],2400
68774.83439758804,0.0005,[8, 8, 8],5800
68968.15357740098,0.0005,[13, 8],2500
223515.30477491932,0.0005,[8, 8, 8],5900
68777.68552849289,0.0005,[13, 8],2600
68799.82907512659,0.0005,[13, 8],2700
223515.30477491932,0.0005,[13, 8],2800
68784.35127060751,0.0005,[13, 8],2900
223515.30477491932,0.0005,[13, 8],3000
223515.30477491932,0.0005,[13, 8],3100
68778.61451257345,0.0005,[13, 8],3200
68814.23144005613,0.0005,[13, 8],3300
68776.25921989427,0.0005,[13, 8],3400
68812.74040545273,0.0005,[13, 8],3500
223515.30477491932,0.0005,[13, 8],3600
68780.28160957644,0.0005,[13, 8],3700
223515.30477491932,0.0005,[13, 8],3800
68777.09153245887,0.0005,[13, 8],3900
68776.25634157451,0.0005,[13, 8],4000
223515.30477491932,0.0005,[13, 8],4100
68776.20772255446,0.0005,[13, 8],4200
68776.19944690439,0.0005,[13, 8],4300
223515.30477491932,0.0005,[13, 8],4400
68776.25358611194,0.0005,[13, 8],4500
68776.33234751847,0.0005,[13, 8],4600
223515.30477491932,0.0005,[13, 8],4700
223515.30477491932,0.0005,[13, 8],4800
223515.30477491932,0.0005,[13, 8],4900
72149.4638133812,0.0005,[9, 4],1000
68775.8721577177,0.0005,[13, 8],5000
69674.48358043868,0.0005,[9, 4],1100
68777.22677368073,0.0005,[13, 8],5100
69538.92530505394,0.0005,[9, 4],1200
70563.23525310127,0.0005,[9, 4],1300
68776.22876572073,0.0005,[13, 8],5200
68776.34290839522,0.0005,[13, 8],5300
70615.98030627519,0.0005,[9, 4],1400
223515.30477491932,0.0005,[13, 8],5400
223515.30477491932,0.0005,[9, 4],1500
223515.30477491932,0.0005,[9, 4],1600
223515.30477491932,0.0005,[13, 8],5500
70861.92806418201,0.0005,[9, 4],1700
223515.30477491932,0.0005,[9, 4],1800
68776.27417002521,0.0005,[13, 8],5600
223515.30477491932,0.0005,[9, 4],1900
223515.30477491932,0.0005,[9, 4],2000
68777.03278495296,0.0005,[13, 8],5700
68808.68011412966,0.0005,[9, 4],2100
68776.23998423855,0.0005,[13, 8],5800
68804.98812099332,0.0005,[9, 4],2200
68776.19873306919,0.0005,[13, 8],5900
223515.30477491932,0.0005,[9, 4],2300
223515.30477491932,0.0005,[9, 4],2400
68881.6077063136,0.0005,[9, 4],2500
223515.30477491932,0.0005,[9, 4],2600
70028.82940191099,0.0005,[9, 4],2700
68784.0760734169,0.0005,[9, 4],2800
68800.97231889583,0.0005,[9, 4],2900
69527.26147726165,0.0005,[9, 4],3000
69134.38805223134,0.0005,[9, 4],3100
223515.30477491932,0.0005,[9, 4],3200
68789.08429371912,0.0005,[9, 4],3300
223515.30477491932,0.0005,[9, 4],3400
223515.30477491932,0.0005,[9, 4],3500
223515.30477491932,0.0005,[9, 4],3600
223515.30477491932,0.0005,[9, 4],3700
68848.78661643568,0.0005,[9, 4],3800
68782.97081356659,0.0005,[9, 4],3900
68776.30383558752,0.0005,[9, 4],4000
68776.25486088455,0.0005,[9, 4],4100
68842.70040009038,0.0005,[9, 4],4200
68779.38514493941,0.0005,[9, 4],4300
223515.30477491932,0.0005,[9, 4],4400
68805.27431413364,0.0005,[9, 4],4500
68797.75914026109,0.0005,[9, 4],4600
68776.33484041438,0.0005,[9, 4],4700
68776.83389717218,0.0005,[9, 4],4800
68777.00985549417,0.0005,[9, 4],4900
68777.88840109165,0.0005,[9, 4],5000
